QUOTE_TRANSCRIPTION	Common Name	LAT	LNG	COMMENTS
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
London	London	42.98339	-81.23304	
Westminster	Westminster	51.5	-0.11667	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
London	London	51.50853	-0.12574	
Hereford	Hereford	52.05684	-2.71482	
St. Paul's, London	St. Paul's, London	51.5137417	-0.098465147	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
London	London	51.50853	-0.12574	
London	London	51.50853	-0.12574	
London	London	51.50853	-0.12574	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Ledbury	Ledbury	52.03639	-2.42635	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Bosebur	Bosebury			
Hereford	Hereford	52.05684	-2.71482	
Westminster.	Westminster	51.5	-0.11667	
Hereford	Hereford	52.05684	-2.71482	
Windsor	Windsor			
Avignon	Avignon	43.95159	4.80769	
the same church	the same church	52.05684	-2.71482	
Bermundeseye	Bermundeseye			
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Goodrich Castell’	Goodrich Castell’			
Ledbury	Ledbury	52.03639	-2.42635	
Lodelawe	Lodelawe			
Newent	Newent	51.93365	-2.40815	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
the chapter-house at Hereford	the chapter-house at Hereford			
Staunton	Staunton			
Herdewyk	Herdewyk			
Fowehop	Fownhope			Fownhope
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Lank'	Lank'			
Landaff	Llandaff			
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Deweswalle	Deweswalle			
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
