UUID	Document Number	Doc_Year	QUOTE_TRANSCRIPTION	Common Name	ANCHOR	TYPE	URI	VOCAB_LABEL	LAT	LNG	Place_Type	Person_Gender	TAGS	Person_Named by	Role	Person_Job	COMMENTS
491dd176-4364-4025-9683-1114a513be42	HCM 608	1307	Hugh Iues	Hugh Ives	char-offset:2755	PERSON							Witness		Witness		aka Hugh Ives
068fe530-80cc-4406-b8f3-ebf9386fc3d7	HCM 564	1315/6	Hugh le Rede	Hugh le Rede	char-offset:1382	PERSON							Witness		Witness		
27909df2-aa7f-4520-a517-a661d2cd59c8	HCM 2879	1317	Hugh le Schypward	Hugh le Schypward	char-offset:452	PERSON							Witness		Witness		
36e4ce1f-4268-468f-80aa-c300a1ea1ddd	HCM 608	1307	Hugh le Shipward	Hugh le Schypward	char-offset:2766	PERSON							Scribe		Witness		
9f08fdfd-294f-4bbb-b673-c5ea88a843c4	HCM 1657	1310/11	Hugh Odierne	Hugh Odierne	char-offset:601	PERSON							Witness		Witness		
4d483a3d-7e08-4596-ae13-8a22874f1487	HCM 153	1317	Hugh son of Hugh Trone de Hereford	Hugh son of Hugh Trone de Hereford	char-offset:78	PERSON							Principal				
0b91bbc4-2a30-40a1-a0ed-c1667e35c119	HCM 1703	1317	Hugh son of Philip	Hugh son of Philip	char-offset:978	PERSON							Scribe				
d90a6b8d-2475-4b6d-99cb-9f4e1c130995	HCM 597	1315/6	Hugh son of William le Stedemon de Ros, clerk	Hugh son of William le Stedemon de Ros, clerk	char-offset:122	PERSON							Principal			clerk	
2f970317-e21f-4873-a860-9d850ade2177	HCM 1485	circa 1314	Hugh Troue	Hugh Troue	char-offset:501	PERSON							Witness		Witness	bailiffs of the king at Hereford	
7ddb716a-45b4-4d5c-acef-d1f3a939f5dc	HCM 1489	1308	Hugh Troue	Hugh Troue	char-offset:855	PERSON							Witness		Witness		
ee526392-d6a7-4974-adec-7983884ddccd	HCM 2874	1312	Hugh Trone	Hugh Troue	char-offset:462	PERSON							Witness		Witness	citizens	
f2a7c16e-173a-4996-8945-72dd7f9d8d93	HCM 2876	1313	Hugh Troue	Hugh Troue	char-offset:420	PERSON							Witness		Witness		
c1b7b832-df4b-4720-9110-bebe9a10a84c	HCM 119	1308	Hungr	Hungr	char-offset:199	PLACE					Street		Street				
805e42cb-f2a0-4a1d-8dea-08b5187603e1	HCM 1621	1313	Hunteleye	Hunteleye	char-offset:528	PLACE							Nominative		Nominative		
cbc0ce81-4841-4e2c-9f7f-4632760de945	HCM 1311	1314	Ia Bere	Ia Bere	char-offset:361	PLACE							Nominative		Nominative		
b8031f87-4753-4942-961c-bbf9227dcf24	HCM 1768	1314	Ievan ap Howel Vachan	Ievan ap Howel Vachan	char-offset:148	PERSON							Principal				
05a4493f-136f-4c2e-a0f2-732c48771d11	HCM 1746	1312	in the chapter-house at Gloucester	in the chapter-house at Gloucester	char-offset:650	PLACE	http://sws.geonames.org/2648404	Gloucester	51.86568	-2.2431	Building		Building				
7abb140d-7127-4a9d-a470-d128c2a5eb34	HCM 383	1316	Ioelus de Herte launde	Ioelus de Herte launde	char-offset:615	PERSON							Witness		Witness		
a5ef93b1-f36c-4a47-bf57-5af41e4e09cf	HCM 209	1316	Ipr	Ipr	char-offset:683	PLACE							Nominative		Nominative		
59e337c4-8f9f-42ad-abce-01deef68fda0	HCM 589	1311	Isabel wife of the said William	Isabel, wife of William brother of Walter de Thornbury	char-offset:164	PERSON						Woman	Principal				that is, Isabel (de Thornbury?), wife of William (de Thornbury?) the brother of Walter de Thornbury
51bcbd9b-f9c5-4371-9d23-6c395067821f	HCM 386	1305	Ivellus de Hertlannde	Ivellus de Hertlannde	char-offset:441	PERSON							Witness		Witness		
6411b034-5fa1-4fa2-b4ef-c9959e32ff47	HCM 181	1310	J[ohn], dean, and chapter of the church of St. Ethelbert of Hereford	John de Aqua Blanca	char-offset:74	PERSON							Collective|Principal	Collective	Principal		
3accdcbf-8b2c-4e53-80be-ccf2490f381c	HCM 2159	1309	J[ohn de Monmouth], bishop of Llandaff	J[ohn de Monmouth], bishop of Ll	char-offset:170	PERSON							Principal			bishop of Llandaff,	
335be301-9c85-48a8-8cd8-e6b764dbe9d5	HCM 758	1314	James de Berkeley	James de Berkeley	char-offset:360	PERSON							Principal			proctor of Richard, bishop of Herefor	
af39ba24-4a88-4029-a34b-08e285863541	HCM 181	1310	James de Henle, rector of the church of Ros	James de Henle, rector of the church of Ros	char-offset:148	PERSON							Principal				
b277ae17-3f9f-4e6a-9c93-c0538802eb2a	HCM 755	1317	Dominus James de Henle	James de Henle	char-offset:175	PERSON							Principal			Canon of Hereford	Canon of Hereford
a894f528-68c2-47ce-a32e-ca9fa3d53303	HCM 1622	1307	John, abbot	John, abbot of the convent of St Peter's, Gloucester	char-offset:88	PERSON							Principal				John, Abbot of the convent of St Peter's, Gloucester
286fcb0d-c978-4b6e-b67c-fabcf7432944	HCM 1780	1311	the bishop of Llandaff	John, bishop of Llandaff	char-offset:416	PERSON							Office	Office			John
44fd0327-1250-4d20-9d8a-8c8d6d202287	HCM 1780	1311	John, bishop of Llandaff	John, bishop of Llandaff	char-offset:155	PERSON							Principal				
69d17932-544e-491f-89cc-7130c0952feb	HCM 2464	1317	John, dean of the church of Hereford	John, dean of the church of Hereford	char-offset:72	PERSON							Principal				
c2338ae4-76fa-45bc-a172-60748ab6a6e9	HCM 746	circa 1310	John, prior, and convent of Wenlok	John, prior, and convent of Wenlok	char-offset:25	PERSON							Principal				
1a2d2c99-c6f0-4d2e-86bc-2415600f2411	HCM 1754	1314	John, prior of the cathedral church of Worcester	John, prior of the cathedral church of Worcester	char-offset:47	PERSON							Principal			fellow-monk	
fb08c2df-2e39-4e39-9a85-180cc80c1fa2	HCM 1504	1309/10	John, rector of the church of Penbray	John, rector of the church of Penbray	char-offset:123	PERSON							Principal			rector of the church of Penbray	
901a4e4f-63d6-40c9-94ad-7760a3cbf4e6	HCM 1505	1309/10	John, rector of the church of Penbray,	John, rector of the church of Penbray	char-offset:180	PERSON							Principal			rector of the church of Penbray	
745a4956-e471-436f-8433-66e93b445bdf	HCM 406	1308	John	John, son of Roger de Bruneshop	char-offset:82	PERSON							Principal				son of Roger de Bruneshop
6fde4907-b185-4dab-9d0a-1f25fd1a089d	HCM 623	1309	John [of Monmouth]	John [of Monmouth]	char-offset:66	PERSON							Principal				
7d1ebf25-8b3d-4ac5-bb9e-1e14b6325b66	HCM 2159	1309	John | son of] John de Fontyton	John | son of] John de Fontyton	char-offset:58	PERSON							Principal			notary public	
7f9f4ce6-73df-49b8-9d3a-9507b71b8882	HCM 150	1315	John Alkyn	John Alkin	char-offset:421	PERSON							Dead				
9b5a345a-ba27-4c40-b2f1-a937bb0d8d6f	HCM 773	1311/2	John Alkin	John Alkin	char-offset:775	PERSON							Witness		Witness		
ac5b4801-88b4-4f9d-ba88-9cd9bddc3e4d	HCM 1918	1316	John ate crose	John ate crose	char-offset:533	PERSON							Witness		Witness		
655fe31e-f87f-4a9b-8466-a6238869d132	HCM 1682	1306/7	John atte Mulle	John atte Mulle	char-offset:125	PERSON							Principal				
a0049677-368a-43aa-8cf9-4d3609cbc4e7	HCM 2672	1307	John Bardulf	John Bardulf	char-offset:26	PERSON							Principal			vicar of the church of Lugwardyn	
2cc1dc77-97e5-4d95-8336-d5bd9d8b5ce2	HCM 2598	1311/2	John Barwe	John Barwe	char-offset:257	PERSON							Principal				
08950bbe-0010-475f-a1fd-55182ae1b35b	HCM 1529	1315	John Batyn	John Batun	char-offset:406	PERSON							Witness		Witness		
b00ef806-fd41-4af1-938d-a1c4eb620425	HCM 1768	1314	John Batin	John Batun	char-offset:1189	PERSON							Witness		Witness		
c3c23263-e6bb-4731-b1e1-5c10ec12a00d	HCM 384	1315/6	John Batun	John Batun	char-offset:80	PERSON							Principal				
d5f55328-c5e4-4064-aa2f-6533fe9af190	HCM 1679	1315	John Bele de Wydyngdon	John Bele de Wydyngdon	char-offset:175	PERSON							Principal				
a030a61b-c976-4ff2-aa36-959d0df8042d	HCM 2715	1306	John Bordulf', perpetual vicar of the church of Lugwardin	John Bordulf', perpetual vicar of the church of Lugwardin	char-offset:29	PERSON							Principal				
1780ecf0-20f9-4c78-b53b-160b94cd0bcc	HCM 680	1310	John Boter	John Boter	char-offset:368	PERSON							Witness		Witness		
53426d5f-60f4-4398-9157-c60ad2213963	HCM 3162	1306	John	John Bouhs	char-offset:81	PERSON							Scribe				John Bouhs
