Document Number	Alternate Numbering	Given At	Earliest Date	Latest Date	UUID	Person ID	PERSON + DOC	QUOTE_TRANSCRIPTION	Normalized text	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags	Named by	Scribe	Principal	Witness	Dead	Gender
HCM 1033	RBLR 1814, HCM 1033	Canterbury	1318-03-25T00:00:00Z		f099a355-7523-4a87-b81f-d2033ff25dd9	f099a355-7523-4a87-b81f-d2033ff25dd9	f099a355-7523-4a87-b81f-d2033ff25dd9;HCM 1033	Thomas de Retlyng'	Thomas de Retlyng'		PERSON	cf HCM 1001 p.772, missing doc? er, looks like RBLR 1703, just below			Principal				Principal			M
HCM 1033		Canterbury	1318-03-25T00:00:00Z		8cb3dcb1-ce8b-4344-b134-ff0d23a306b3	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c;HCM 1033	executors of . the will of Soainus Richard. de Swynefeud, formerly bishop of Yereford	executors of Richard de Swinfield		PERSON				Collective|Clerical|Office	Clerical|	Collective					M
HCM 1033		Canterbury	1318-03-25T00:00:00Z		b293d177-33bf-4ac5-be54-e92c6eb7ebc5	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 1033	Richard. de Swynefeud, formerly bishop of Yereford,	Richard de Swinfield	formerly bishop of Yereford	PERSON				Dead|Clerical	Clerical					Dead	M
HCM 1033		Canterbury	1318-03-25T00:00:00Z		1d917de0-1487-49a5-b910-26b7f5568e31			Canterbury	Canterbury		PLACE		51.27904	1.07992	Given at	Given at						
HCM 1035	RBLR 1741, HCM 1035	London	1317-08-02T00:00:00Z		051646eb-b864-4682-93bc-fcb794cec873	051646eb-b864-4682-93bc-fcb794cec873	051646eb-b864-4682-93bc-fcb794cec873;HCM 1035	William de Suanton', rector of the church of Cherring'	William de Swantone	rector of the church of Cherring'	PERSON				Principal|Clerical	Clerical			Principal			M
HCM 1035		London	1317-08-02T00:00:00Z		d853da82-76d9-43cf-850c-d74134f1865b	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c;HCM 1035	executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford,	executors of Richard de Swinfield		PERSON				Principal|Agent|Collective|Clerical	Agent|Clerical	Collective		Principal			M
HCM 1035		London	1317-08-02T00:00:00Z		8e8d2c7b-7ec5-4f87-ae3c-760fd17674e4	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 1035	Richard de Swynefeud, formerly bishop of Hereford,	Richard de Swinfield		PERSON				Dead|Clerical	Clerical					Dead	M
HCM 1035		London	1317-08-02T00:00:00Z		8a84659e-fcec-406b-8277-c07e3f931607			London	London		PLACE		51.50853	-0.12574	Given at	Given at						
HCM 104		Hereford	1356-03-28T00:00:00Z		27b4bfaf-f2e4-4a7f-84dd-797a06b11b8e	27b4bfaf-f2e4-4a7f-84dd-797a06b11b8e	27b4bfaf-f2e4-4a7f-84dd-797a06b11b8e;HCM 104	Thomas de Monyton', burgess of Gloucester	Thomas de Moniton	burgess of Gloucester	PERSON				Principal				Principal			M
HCM 104		Hereford	1356-03-28T00:00:00Z		fa0b1957-ccf9-49e5-a528-7ee851a3d421	fa0b1957-ccf9-49e5-a528-7ee851a3d421	fa0b1957-ccf9-49e5-a528-7ee851a3d421;HCM 104	Henry de Hamstude, citizen of Hereford	Henry de Hamstude	citizen of Hereford	PERSON	husband to Cecily			Principal				Principal			M
