Normalized text	Document Number	Alternate Numbering	UUID	Person ID	QUOTE_TRANSCRIPTION	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags 2	Named by	Scribe	Principal	Witness	Dead	Gender
	RBLR 1740	RBLR 1740, HCM 1018					PLACE		51.27904	1.07992	Given at							
	RBLR 1805	RBLR 1805, HCM 1032					PLACE		51.27904	1.07992	Given at							
	RBLR 1806	RBLR 1806, HCM 1038					PLACE		51.27904	1.07992	Given at							
	RBLR 1807	RBLR 1807, HCM 1017					PLACE		51.27904	1.07992	Given at							
	RBLR 1808	RBLR 1808, HCM 1029					PLACE		51.27904	1.07992	Given at							
	RBLR 1809	RBLR 1809, HCM 1039					PLACE		51.27904	1.07992	Given at							
	RBLR 1810	RBLR 1810, HCM 1047					PLACE		51.27904	1.07992	Given at							
	RBLR 1811	RBLR 1811, HCM 1022					PLACE		51.27904	1.07992	Given at							
	RBLR 1812	RBLR 1812, HCM 1014					PLACE		51.27904	1.07992	Given at							
	RBLR 1814	RBLR 1814, HCM 1033					PLACE		51.27904	1.07992	Given at							
	HCM 2157						PLACE		54.8951	-2.9382	Given at							
	HCM 2158						PLACE				Given at (suggested)							
	HCM 2726						PLACE				Given at							
	HCM 2727						PLACE				Given at							
	RBLR 1802						PLACE											
	HCM 1431						PLACE				Given at							
	HCM 1975						PLACE											
	HCM 491						PLACE											
	HCM 2261.a						PLACE											
	HCM 2261.b						PLACE											
	HCM 1521						PLACE											
	HCM 1173						PLACE											
	HCM 1173						PLACE											
	HCM 2932.C.						PLACE											
	HCM 1767						PLACE											
	HCM 1767-em2						PLACE											
	HCM 3192						PLACE											
	HCM 1934						PLACE				Given at							
	HCM 1934						PLACE											
	HCM 1414 A						PLACE				Given at							
	RBLR 3801						PLACE				Given at							
	HCM 82						PLACE											
	RBLR 3204						PLACE				Given at							
	RBLR 3204-em2						PLACE				Given at							
	RBLR 3204-em3						PLACE				Given at							
	HCM 1858						PLACE											
	HCM 2170						PLACE				Given at							
	HCM 1524						PLACE				Given at							
	HCM 1581						PLACE				Given at							
	HCM 1600						PLACE				Given at							
	HCM 1611						PLACE				Given at							
	HCM 1622						PLACE				Given at							
	HCM 1653						PLACE				Given at							
	HCM 1667						PLACE				Given at							
	HCM 1679						PLACE				Given at							
	HCM 1682						PLACE				Given at							
	HCM 1683						PLACE				Given at							
	HCM 1685						PLACE				Given at							
	HCM 1690						PLACE				Given at							
	HCM 1746						PLACE				Given at							
	HCM 1826						PLACE				Given at							
	HCM 1876						PLACE				Given at							
	HCM 1881						PLACE				Given at							
	HCM 1885						PLACE		51.860322	-2.248262	Given at							
	HCM 1887						PLACE				Given at							
	HCM 1898						PLACE				Given at							
	HCM 2219						PLACE				Given at							
	HCM 1062						PLACE		52.05684	-2.71482	Given at							
	HCM 1068	RBLR 3702, HCM 1068					PLACE				Given at							
	HCM 1333						PLACE				Given at							
	HCM 1337						PLACE				Given at							
	HCM 1418						PLACE				Given at							
	HCM 1434						PLACE				Given at							
	HCM 181						PLACE				Given at							
	HCM 1817						PLACE				Given at							
	HCM 186						PLACE				Given at							
	HCM 1879						PLACE				Given at							
	HCM 1892-em						PLACE				Given at							
	HCM 1899						PLACE				Given at							
	HCM 1908						PLACE				Given at							
	HCM 2051						PLACE				Given at							
	HCM 2066						PLACE				Given at							
	HCM 2068						PLACE				Given at							
	HCM 2072						PLACE				Given at							
	HCM 2089						PLACE				Given at							
	HCM 2096						PLACE				Given at							
	HCM 2269						PLACE		51.49879294	-0.12768431	Given at							
	HCM 2454						PLACE		51.49879294	-0.12768431	Given at							
	HCM 2456						PLACE				Given at							
	HCM 2463						PLACE				Given at							
	HCM 2464						PLACE				Given at							
	HCM 2465						PLACE				Given at							
	HCM 2466						PLACE				Given at							
	HCM 2469						PLACE				Given at							
	HCM 2505						PLACE				Given at							
	HCM 2676						PLACE				Given at							
	HCM 2690						PLACE				Given at							
	HCM 275						PLACE		52.05684	-2.71482	Given at							
	HCM 2797-em1						PLACE				Given at							
	HCM 2875						PLACE				Given at							
	HCM 2925						PLACE				Given at							
	HCM 2973						PLACE				Given at							
	HCM 2991						PLACE				Given at							
	HCM 3001						PLACE				Given at							
	HCM 3009						PLACE				Given at							
	HCM 3165						PLACE				Given at							
	HCM 3180						PLACE				Given at							
	HCM 3191	RBLR 4704, HCM 3191					PLACE				Given at							
	HCM 3198						PLACE				Given at							
	HCM 360						PLACE				Given at							
	HCM 379						PLACE				Given at							
	HCM 432						PLACE				Given at							
	HCM 555						PLACE				Given at							
	HCM 715						PLACE				Given at							
	HCM 735						PLACE		52.05684	-2.71482	Given at							
	RBLR 3002						PLACE				Given at							
	RBLR 3003	RBLR 3003, HCM 2089a					PLACE				Given at (suggested)							
	RBLR 3004	RBLR 3004, HCM R79					PLACE				Given at							
	RBLR 3702	RBLR 3702, HCM 1068					PLACE				Given at							
	RBLR 4604	RBLR 4604, HCM R98a					PLACE				Given at							
	RBLR 4704	RBLR 4704, HCM 3191					PLACE				Given at							
	RBLR 4705	RBLR 4705, HCM R98b					PLACE				Given at							
	RBLR 4902	RBLR 4902, HCM R99a					PLACE				Given at							
	HCM 1442						PLACE				Given at (suggested)							
	RBLR 1701	RBLR 1701, HCM 1034					PLACE		51.513741698095345	-0.098465147372751	Given at							
	HCM 747						PLACE				Given at							
	HCM 1754						PLACE				Given at							
	HCM 2087	RBLR 3202, HCM 2087					PLACE				Given at							
	RBLR 3202	RBLR 3202, HCM 2087					PLACE				Given at							
	RBLR 1704	RBLR 1704, HCM 1015					PLACE				Given at							
	HCM 2075						PLACE				Given at							
	HCM 1077-em						PLACE				Given at (suggested(							
	HCM 1417						PLACE				Given at							
	HCM 2100						PLACE				Given at							
	HCM 2159						PLACE				Given at							
	HCM 2170-em						PLACE				Given at							
	HCM 2710-em						PLACE				Given at							
	RBLR 2804						PLACE				Given at							
	HCM 236						PLACE				Given at							
	HCM 250						PLACE				Given at							
	RBLR 1608	RBLR 1608, HCM 4					PLACE				Given at (suggested)							
	HCM 2226						PLACE				Given at							
	HCM 2146						PLACE											
	HCM 1879						PLACE											
	HCM 2145						PLACE											
	HCM 2147						PLACE											
	HCM 2151						PLACE											
	HCM 2817						PLACE				Given at							
	HCM 2133						PLACE											
	HCM 2530						PLACE				Given at							
	HCM 2170-em						PLACE											
	HCM 2888						PLACE											
	HCM 2079						PLACE				Given at							
	HCM 2163						PLACE											
	HCM 2164						PLACE											
	HCM 1892						PLACE											
	HCM 1892-em						PLACE											
	HCM 2269						PLACE											
	HCM 1320						PLACE											
	HCM 1375	RBLR 2901, HCM 1375					PLACE											
	HCM 2270						PLACE											
	HCM 2271						PLACE											
	HCM 2817						PLACE											
	RBLR 2901	RBLR 2901, HCM 1375					PLACE											
	HCM 2222						PLACE				Given at							
	HCM 2140						PLACE				Given at (suggested)							
	HCM 1506						PLACE				Given at (suggested)							
	HCM 1780						PLACE				Given at							
	HCM 2132						PLACE											
	HCM 2170						PLACE											
	RBLR 2802	RBLR 2802, HCM R76					PLACE		51.78826	6.13865	Given at							
	HCM 1053						PLACE				Given at							
	HCM 1200						PLACE				Given at							
	HCM 1221						PLACE				Given at							
	HCM 348						PLACE		52.113502	-3.098121	Given at							
	HCM 349						PLACE				Given at							
	HCM 1720						PLACE				Given at							
	HCM 2050						PLACE				Given at							
	HCM 2506						PLACE											
	HCM 1622						PLACE											
	HCM 2254						PLACE				Given at							
	HCM 2122						PLACE				Given at							
	HCM 1504-em						PLACE				Given at (suggested(							
	HCM 2298						PLACE		45.5	13.5	Given at							
	HCM 2305						PLACE				Given at							
	RBLR 3802						PLACE		52.55668	-1.24643	Given at							
	RBLR 3404						PLACE				Given at							
	RBLR 3301						PLACE				Given at							
	HCM 1329						PLACE											
	HCM 716						PLACE											
	HCM 408						PLACE											
	HCM 2134						PLACE											
	HCM 178						PLACE		52.05684	-2.71482	Given at							
	HCM 678						PLACE				Given at (suggested)							
	HCM 680						PLACE				Given at							
	RBLR 3605						PLACE		53.52285	-1.13116	Given at							
	HCM 1371						PLACE		51.13333	1.3	Given at							
	RBLR 2502						PLACE		51.13333	1.3	Given at							
	HCM 1306						PLACE				Given at							
	HCM 1836						PLACE				Given at							
	HCM 2289						PLACE				Given at							
	HCM 2198						PLACE											
	HCM 529						PLACE											
	HCM 2305						PLACE											
	HCM 2054						PLACE											
	HCM 582						PLACE											
	HCM 2291						PLACE											
	HCM 1713						PLACE											
	HCM 1194						PLACE											
	RBLR 4807						PLACE											
	HCM 1699						PLACE				Given at							
	HCM 3000						PLACE				Given at							
	HCM 1367						PLACE		52.09237	-1.94887	Given at							
	RBLR 3901						PLACE		51.215884	-0.784391	Given at							
	RBLR 4003	RBLR 4003, HCM R93					PLACE		51.21444	-0.80054	Given at							
	RBLR 4401	RBLR 4401, HCM R97a					PLACE		51.215884	-0.784391	Given at							
	RBLR 4402						PLACE		51.215884	-0.784391	Given at							
	RBLR 4403						PLACE				Given at							
	RBLR 4406						PLACE		51.215884	-0.784391	Given at							
	RBLR 4407						PLACE		51.215884	-0.784391	Given at							
	RBLR 4502	RBLR 4502, HCM R97b					PLACE		51.215884	-0.784391	Given at							
	HCM 1769						PLACE				Given at							
	HCM 28	RBLR 0802, HCM 28					PLACE											
	RBLR 0802	RBLR 0802, HCM 28					PLACE											
	RBLR 4801						PLACE				Given at							
	HCM 1266						PLACE		51.512660955	-0.10292211								
	HCM 9						PLACE											
	HCM 2879						PLACE											
	HCM 81						PLACE											
	HCM 395						PLACE											
	HCM 1601						PLACE											
	RBLR 4605						PLACE											
	RBLR 4606						PLACE											
	HCM 2159						PLACE											
	HCM 2305						PLACE											
	HCM 56						PLACE											
	HCM 44						PLACE											
	HCM 428						PLACE											
	HCM 607						PLACE											
	HCM 690						PLACE											
	HCM 602						PLACE											
	HCM 2711						PLACE											
	HCM 2657						PLACE											
	HCM 2869						PLACE											
	HCM 2653						PLACE											
	HCM 2701						PLACE											
	HCM 279						PLACE											
	HCM 19						PLACE											
	HCM 3						PLACE											
	HCM 1798						PLACE											
	HCM 1800						PLACE											
	HCM 593						PLACE				Given at							
	RBLR 3904						PLACE				Given at (suggested)							
	HCM 1336						PLACE											
	HCM 238						PLACE				Given at							
	RBLR 4002						PLACE				Given at (suggested)							
	HCM 889						PLACE											
	HCM 560						PLACE				Given at							
	RBLR 0906						PLACE				Endorsement							
	HCM 1174						PLACE		51.86568	-2.2431	Given at							
	HCM 1521						PLACE		51.86568	-2.2431	Given at							
	HCM 1583						PLACE		51.86568	-2.2431	Given at							
	HCM 1610						PLACE		51.86568	-2.2431	Given at							
	HCM 1613						PLACE		51.86568	-2.2431	Given at							
	HCM 1623						PLACE		51.86568	-2.2431	Given at							
	HCM 1670						PLACE		51.86568	-2.2431	Given at							
	HCM 1686						PLACE		51.86568	-2.2431	Given at							
	HCM 1687						PLACE		51.86568	-2.2431	Given at							
	HCM 1702						PLACE		51.86568	-2.2431	Given at							
	HCM 1708						PLACE		51.86568	-2.2431	Given at							
	HCM 1721						PLACE		51.86568	-2.2431	Given at							
	HCM 1863						PLACE		51.86568	-2.2431	Given at							
	HCM 1900						PLACE		51.86568	-2.2431	Given at							
	HCM 2217						PLACE		51.86568	-2.2431	Given at							
	HCM 2312						PLACE		51.86568	-2.2431	Given at							
	HCM 2537						PLACE		51.86568	-2.2431	Given at							
	HCM 2612						PLACE		51.86568	-2.2431	Given at							
	HCM 2852						PLACE		51.86568	-2.2431	Given at							
	HCM 422						PLACE		51.86568	-2.2431	Given at							
	HCM 672						PLACE		51.86568	-2.2431	Given at							
	RBLR 1104						PLACE		51.86568	-2.2431	Given at							
