Source	Target	Weight
Lanton	the land which belonged to Thomas Theobaud	1
Lanton	the land of the dean and chapter of Hereford	1
Lanton	Kingston	1
the pasture of the bishops two acres lay in Gaerlecroft	the land which belonged to John Lylie	1
the pasture of the bishops two acres lay in Gaerlecroft	the monastery of Lanthon' Prima of the diocese of St. Davids	1
the pasture of the bishops two acres lay in Gaerlecroft	the convent of the Lanthon Primaa of the diocese of St. David's	1
the pasture of the bishops two acres lay in Gaerlecroft	the pasture of the bishop of Hereford	1
the pasture of the bishops two acres lay in Gaerlecroft	the land which belonged to Thomas Theobaud	1
the pasture of the bishops two acres lay in Gaerlecroft	the land of the dean and chapter of Hereford	1
the pasture of the bishops two acres lay in Gaerlecroft	Kingston	1
the land which belonged to John Lylie	the monastery of Lanthon' Prima of the diocese of St. Davids	1
the land which belonged to John Lylie	the convent of the Lanthon Primaa of the diocese of St. David's	1
the land which belonged to John Lylie	the pasture of the bishop of Hereford	1
the land which belonged to John Lylie	the land which belonged to Thomas Theobaud	1
the land which belonged to John Lylie	the land of the dean and chapter of Hereford	1
the land which belonged to John Lylie	Kingston	1
the monastery of Lanthon' Prima of the diocese of St. Davids	the convent of the Lanthon Primaa of the diocese of St. David's	1
the monastery of Lanthon' Prima of the diocese of St. Davids	the pasture of the bishop of Hereford	1
the monastery of Lanthon' Prima of the diocese of St. Davids	the land which belonged to Thomas Theobaud	1
the monastery of Lanthon' Prima of the diocese of St. Davids	the land of the dean and chapter of Hereford	1
the monastery of Lanthon' Prima of the diocese of St. Davids	Kingston	1
the convent of the Lanthon Primaa of the diocese of St. David's	the pasture of the bishop of Hereford	1
the convent of the Lanthon Primaa of the diocese of St. David's	the land which belonged to Thomas Theobaud	1
the convent of the Lanthon Primaa of the diocese of St. David's	the land of the dean and chapter of Hereford	1
the convent of the Lanthon Primaa of the diocese of St. David's	Kingston	1
the pasture of the bishop of Hereford	the land which belonged to Thomas Theobaud	1
the pasture of the bishop of Hereford	the land of the dean and chapter of Hereford	1
the pasture of the bishop of Hereford	Kingston	1
the land which belonged to Thomas Theobaud	the land of the dean and chapter of Hereford	1
the land which belonged to Thomas Theobaud	Kingston	1
the land of the dean and chapter of Hereford	Kingston	1
Richard Maniword	John de Ledeburi	1
Richard Maniword	Hereford	1
Richard Maniword	Nicholas de Werham	1
Richard Maniword	Hungr	1
Richard Maniword	Peter Doieward	1
Richard Maniword	Richard Ithenhaye	1
Richard Maniword	Richard Monyword	1
Richard Maniword	Adam de Colewalle	1
Richard Maniword	land of John le Worrour	1
Richard Maniword	John le Bole	1
Richard Maniword	Gilbert Blod	1
Richard Maniword	John Page	1
Richard Maniword	land of the said Hugh	1
John de Ledeburi	Hereford	1
John de Ledeburi	Nicholas de Werham	1
John de Ledeburi	Hungr	1
John de Ledeburi	Peter Doieward	1
John de Ledeburi	Richard Ithenhaye	1
John de Ledeburi	Richard Monyword	1
John de Ledeburi	Adam de Colewalle	1
John de Ledeburi	land of John le Worrour	1
John de Ledeburi	John le Bole	1
John de Ledeburi	Gilbert Blod	1
John de Ledeburi	John Page	1
John de Ledeburi	land of the said Hugh	1
Hereford	Nicholas de Werham	1
Hereford	Hungr	1
Hereford	Peter Doieward	1
Hereford	Richard Ithenhaye	2
Hereford	Richard Monyword	2
Hereford	Adam de Colewalle	1
Hereford	land of John le Worrour	1
Hereford	John le Bole	4
Hereford	Gilbert Blod	8
Hereford	John Page	2
Hereford	land of the said Hugh	1
Nicholas de Werham	Hungr	1
Nicholas de Werham	Peter Doieward	1
Nicholas de Werham	Richard Ithenhaye	1
Nicholas de Werham	Richard Monyword	1
Nicholas de Werham	Adam de Colewalle	1
Nicholas de Werham	land of John le Worrour	2
Nicholas de Werham	John le Bole	1
Nicholas de Werham	Gilbert Blod	1
Nicholas de Werham	John Page	1
Nicholas de Werham	land of the said Hugh	1
Hungr	Peter Doieward	1
Hungr	Richard Ithenhaye	1
Hungr	Richard Monyword	1
Hungr	Adam de Colewalle	1
Hungr	land of John le Worrour	1
Hungr	John le Bole	1
Hungr	Gilbert Blod	1
Hungr	John Page	1
Hungr	land of the said Hugh	1
Peter Doieward	Richard Ithenhaye	1
Peter Doieward	Richard Monyword	1
Peter Doieward	Adam de Colewalle	1
Peter Doieward	land of John le Worrour	1
Peter Doieward	John le Bole	1
Peter Doieward	Gilbert Blod	1
Peter Doieward	John Page	1
Peter Doieward	land of the said Hugh	1
Richard Ithenhaye	Richard Monyword	2
Richard Ithenhaye	Adam de Colewalle	1
Richard Ithenhaye	land of John le Worrour	1
Richard Ithenhaye	John le Bole	1
Richard Ithenhaye	Gilbert Blod	2
Richard Ithenhaye	John Page	1
Richard Ithenhaye	land of the said Hugh	1
Richard Monyword	Adam de Colewalle	1
Richard Monyword	land of John le Worrour	1
Richard Monyword	John le Bole	1
Richard Monyword	Gilbert Blod	2
Richard Monyword	John Page	1
Richard Monyword	land of the said Hugh	1
Adam de Colewalle	land of John le Worrour	1
Adam de Colewalle	John le Bole	1
Adam de Colewalle	Gilbert Blod	1
Adam de Colewalle	John Page	1
Adam de Colewalle	land of the said Hugh	1
land of John le Worrour	John le Bole	1
land of John le Worrour	Gilbert Blod	1
land of John le Worrour	John Page	1
land of John le Worrour	land of the said Hugh	1
John le Bole	Gilbert Blod	1
John le Bole	John Page	1
John le Bole	land of the said Hugh	1
Gilbert Blod	John Page	1
Gilbert Blod	land of the said Hugh	1
John Page	land of the said Hugh	1
Homptone	de le Halle	1
Homptone	la Felde	1
Homptone	Colcham	1
Homptone	Roger de le Halle	1
Homptone	Nicholes de la Felde	1
Homptone	Richard Haliday	1
Homptone	Richard Thurgrym	1
Homptone	Roger de la Felde	1
Homptone	River Wye	1
Homptone	Alice de la Halle	1
Homptone	John de Homptone	1
Homptone	le Hale	1
Homptone	Thomas son of John de Homptone	1
de le Halle	la Felde	1
de le Halle	Colcham	1
de le Halle	Roger de le Halle	1
de le Halle	Nicholes de la Felde	1
de le Halle	Richard Haliday	1
de le Halle	Richard Thurgrym	1
de le Halle	Roger de la Felde	1
de le Halle	River Wye	1
de le Halle	Alice de la Halle	1
de le Halle	John de Homptone	1
de le Halle	le Hale	1
de le Halle	Thomas son of John de Homptone	1
la Felde	Colcham	1
la Felde	Roger de le Halle	1
la Felde	Nicholes de la Felde	1
la Felde	Richard Haliday	1
la Felde	Richard Thurgrym	1
la Felde	Roger de la Felde	1
la Felde	River Wye	1
la Felde	Alice de la Halle	1
la Felde	John de Homptone	1
la Felde	le Hale	1
la Felde	Thomas son of John de Homptone	1
Colcham	Roger de le Halle	1
Colcham	Nicholes de la Felde	1
Colcham	Richard Haliday	1
Colcham	Richard Thurgrym	1
Colcham	Roger de la Felde	1
Colcham	River Wye	1
Colcham	Alice de la Halle	1
Colcham	John de Homptone	1
Colcham	le Hale	1
Colcham	Thomas son of John de Homptone	1
Roger de le Halle	Nicholes de la Felde	1
Roger de le Halle	Richard Haliday	1
Roger de le Halle	Richard Thurgrym	1
Roger de le Halle	Roger de la Felde	1
Roger de le Halle	River Wye	1
Roger de le Halle	Alice de la Halle	1
Roger de le Halle	John de Homptone	1
Roger de le Halle	le Hale	1
Roger de le Halle	Thomas son of John de Homptone	1
Nicholes de la Felde	Richard Haliday	1
Nicholes de la Felde	Richard Thurgrym	1
Nicholes de la Felde	Roger de la Felde	1
Nicholes de la Felde	River Wye	1
Nicholes de la Felde	Alice de la Halle	1
Nicholes de la Felde	John de Homptone	1
Nicholes de la Felde	le Hale	1
Nicholes de la Felde	Thomas son of John de Homptone	1
Richard Haliday	Richard Thurgrym	1
Richard Haliday	Roger de la Felde	1
Richard Haliday	River Wye	1
Richard Haliday	Alice de la Halle	1
Richard Haliday	John de Homptone	1
Richard Haliday	le Hale	1
Richard Haliday	Thomas son of John de Homptone	1
Richard Thurgrym	Roger de la Felde	1
Richard Thurgrym	River Wye	1
Richard Thurgrym	Alice de la Halle	1
Richard Thurgrym	John de Homptone	1
Richard Thurgrym	le Hale	1
Richard Thurgrym	Thomas son of John de Homptone	1
Roger de la Felde	River Wye	1
Roger de la Felde	Alice de la Halle	1
Roger de la Felde	John de Homptone	1
Roger de la Felde	le Hale	1
Roger de la Felde	Thomas son of John de Homptone	1
River Wye	Alice de la Halle	1
River Wye	John de Homptone	1
River Wye	le Hale	1
River Wye	Thomas son of John de Homptone	1
Alice de la Halle	John de Homptone	1
Alice de la Halle	le Hale	1
Alice de la Halle	Thomas son of John de Homptone	1
John de Homptone	le Hale	1
John de Homptone	Thomas son of John de Homptone	1
le Hale	Thomas son of John de Homptone	1
Henry le Yonge (jr.)	Hereford	1
Henry le Yonge (jr.)	Pyon Canonicorum	1
Henry le Yonge (jr.)	dean and chapter of Hereford	1
Henry le Yonge (jr.)	Logwardyn	1
Henry le Yonge (jr.)	Wythynton	1
Henry le Yonge (jr.)	Lanton	1
Henry le Yonge (jr.)	Henry le Yonge (sr.)	1
Henry le Yonge (jr.)	Hugh de Lanton	1
Henry le Yonge (jr.)	Robert Boter	1
Henry le Yonge (jr.)	Hoggesshawe	1
Henry le Yonge (jr.)	John le Bole	1
Henry le Yonge (jr.)	la Barewe	1
Henry le Yonge (jr.)	Richard de Hoggesshawe	1
Henry le Yonge (jr.)	John de Wythynton	1
Henry le Yonge (jr.)	John de Logwardyn	1
Henry le Yonge (jr.)	John de la Barewe	1
Henry le Yonge (jr.)	Henry le Yonge	1
Hereford	Pyon Canonicorum	2
Hereford	dean and chapter of Hereford	60
Hereford	Logwardyn	5
Hereford	Wythynton	3
Hereford	Lanton	3
Hereford	Henry le Yonge (sr.)	2
Hereford	Hugh de Lanton	3
Hereford	Robert Boter	2
Hereford	Hoggesshawe	3
Hereford	la Barewe	5
Hereford	Richard de Hoggesshawe	2
Hereford	John de Wythynton	1
Hereford	John de Logwardyn	1
Hereford	John de la Barewe	4
Hereford	Henry le Yonge	3
