Source	Target	Role
HCM 559	Neucome	Nominative
HCM 378	Neuton	Other
HCM 383	Newent	Given at
HCM 2217	Newport (in novo burgo)	Other
HCM 1734	New Street	Other
HCM 2072	Nonnynton	Nominative
HCM 1417	Nortone	Nominative
HCM 2464	Nortone	Nominative
HCM 2464	Nortone	Other
HCM 2505	Nortone	Other
HCM 3180	Nortone	Other
HCM 1599	Norwich	Nominative
HCM 597	Oppton Episcopi	Nominative
HCM 1443	Orleton	Nominative
HCM 2871	Orlenton	Nominative
HCM 1752	Orleton	Nominative
HCM 207	Orleton	Nominative
HCM 2096	Orleton	Nominative
HCM 2716	Orleton	Nominative
HCM 2720	Orleton	Nominative
HCM 2779	Orleton	Nominative
HCM 700	Orleton	Nominative
HCM 773	Orleton	Nominative
HCM 1311	Ostrem	Given at
HCM 1311	Ostrem	Other
HCM 1529	Ostrem	Given at
HCM 1529	Ostrem	Other
HCM 755	Overebroynton	Other
HCM 1703	Overton	Nominative
HCM 383	Oxenhale	Other
HCM 384	Oxenhale	Other
