source	source_id	relation	target	target_id
king's bailiffs at Hereford	b7bb20a5-e797-401d-8e62-85741610ffc2	Job	Roger Penk	678ebb67-eed3-4e39-900b-35bced230da5
king's bailiffs at Hereford	b7bb20a5-e797-401d-8e62-85741610ffc2	Job	Philip le Werrour	18c3de82-6ac4-4be9-a7c9-c528a868207d
king's bailiffs at Hereford	b7bb20a5-e797-401d-8e62-85741610ffc2	Job	Henry de Orletone	668750f2-259a-4cd7-a23f-26511bce017b
knight,	b627b1c1-64c4-41ae-8571-a87ec68f6422	Job	Licent ' de Morgan	c7b391bf-374d-4b5b-b234-342495e75698
le Sopere,	f48e5fab-305e-40bf-a0f1-39b6d2e2a350	Job	John le Sopere	ae3fe862-0c18-4bda-9f0f-3dbda3bd7938
bishop of Hereford	3af0f4cb-2919-412d-9a9b-ad770664e8f6	Job	Richard Swinfield], bishop of Hereford	2d36d87a-185f-42fc-aeed-bc3756e4ffb6
priest	a45c12a9-2551-4676-9b13-f19c174f4657	Job	Walter de Keyrlyon	dc63fd3c-f9e0-4f02-a0d1-518b5442a7b2
treasurer in the aforesaid church of Hereford	6432af9f-6989-46bd-8a2f-010e037a9091	Job	Sohn de Kemeseye	af04638c-7224-49e6-96b5-4edb0e6f35c9
clerks	e342ffc2-6380-4f21-80fc-12f3b1dc93cd	Job	Reginald his brother	3a1333ee-e34f-45bf-a0b9-26d018f83ac5
clerks	e342ffc2-6380-4f21-80fc-12f3b1dc93cd	Job	John de Bromfeld	b678f5c3-7fea-4a01-bd9b-82fedb348386
notary public	9b7c0520-5554-4a3c-ad9e-61f84cd8d5f7	Job	John | son of] John de Fontyton	7d1ebf25-8b3d-4ac5-bb9e-1e14b6325b66
bishop of Hereford	e0b51fd5-498a-4122-9623-86857d62fddc	Job	Richard [Swinfield], bishop of Hereford	985d28c0-ba9e-4bf8-b259-0f503d45536f
vicarage of the church of St. Gundley in Newport (in novo burgo) in the diocese of Llandaff	192fa085-4ed0-444b-8c42-8f7d8e2b6f93	Job	Walter de Keyrlyon	dc63fd3c-f9e0-4f02-a0d1-518b5442a7b2
bishop of Hereford	e6dc8c2e-d460-422d-9be0-5c1135de1d6c	Job	John le Bretun	7a7b4d54-6215-405d-9a6c-67962de690ee
precentor	e98c6b46-2d2d-43b5-b69f-4b12d4b01521	Job	John de Swenesfeld	83c492bc-2e0f-40ac-bd83-02d3fcbe7682
clerk of the diocese of Chichester,	741495a3-cf3b-47e9-ac26-c828285d1d75	Job	John | son of] John de Fontyton	7d1ebf25-8b3d-4ac5-bb9e-1e14b6325b66
