Source	Target	Role
HCM 196	John Steuenes	Witness
HCM 1438	John Talebot	Principal
HCM 2093	John the baker	Other
HCM 2876	John Throm	Witness
HCM 1169	John Throm	Other
HCM 2096	John Throm	Other
HCM 2096	John Throm	Witness
HCM 2879	John Toky	Other
HCM 1780	John Toppe	Other
HCM 2260	John Vanne	Other
HCM 385	John Ville	Witness
HCM 681	John Vyncent	Witness
HCM 678	John Vyncent	Witness
HCM 680	John Vyncent	Scribe
HCM 1974	John Whyteneye	Witness
HCM 1529	John Wyn	Witness
HCM 593	John Yewan	Witness
HCM 1621	Jordan de Hingham	Other
HCM 1065	King's justices	Other
HCM 1931	King Edward II	Other
HCM 1367	King Edward II	Other
HCM 1366	King Edward II	Other
HCM 1736	Lambert de Trikingham	Witness
HCM 2880	late treasurer and prebendary of Berton’	Other
HCM 2096	Laurence brother of the said John	Witness
HCM 150	Laurence son of Phillip son of Stephen	Witness
HCM 1918	Ledbury	Other
HCM 1523	Lewelin ap Oweyn	Principal
HCM 1780	Licent ' de Morgan	Other
HCM 1851	Lincoln	Other
HCM 1834	Lincoln	Other
HCM 3215 A	Lucia le Shipward'	Principal
HCM 593	Lucy	Other
HCM 593	Lucy (Lutia) grantor's mother	Other
HCM 755	Lugg	Other
HCM 150	Luke de Bergeueni	Other
HCM 1529	Mael ap Wastewy	Other
HCM 2879	magister	Other
HCM 2874	many others	Other
HCM 1974	Margery	Other
HCM 593	Margery le Helmscmit	Other
HCM 1063	Mary	Other
HCM 946	Matilda daughter of John le fiz John de Clehonger;	Principal
HCM 2096	Matilda de la Haye	Other
HCM 219	Matilda de Magdalona	Other
HCM 2096	Matild de Ledebur	Other
HCM 1503	Maurice	Other
HCM 1504	Maurice	Other
HCM 1505	Maurice	Other
HCM 1506	Maurice	Other
HCM 1506	Maurice de Novo	Principal
HCM 1930	Menent Francisk'	Other
HCM 1930	Menent Francisk' and his fellow-merchants of the society of Bardi [of Florence]	Other
HCM 3180	Miles Pychard	Witness
HCM 2873	Nicholas	Other
HCM 1834	Nicholas	Other
HCM 609	Nicholas	Other
HCM 678	Nicholas atte Walle	Scribe
HCM 564	Nicholas de Brompton	Other
HCM 680	Nicholas de La Walle	Witness
HCM 2872	Nicholas de Reygate	Other
HCM 2871	Nicholas de Reygate	Other
HCM 2873	Nicholas de Reygate	Other
HCM 609	Nicholas de Reygate	Principal
HCM 608	Nicholas de Reygate, clerk	Principal
HCM 383	Nicholas de Stretedene	Witness
HCM 386	Nicholas de Stretedene	Witness
HCM 2592	Nicholas de Warewyk	Principal
HCM 2586	Nicholas de Warewyk	Principal
HCM 2579	Nicholas de Warreyk	Principal
HCM 119	Nicholas de Werham	Witness
HCM 219	Nicholas de Werham	Witness
HCM 174	Nicholas de Werham	Witness
HCM 2723	Nicholas de Yaneworth	Scribe
HCM 1836	Nicholas de Yaneworth	Principal
HCM 1848	Nicholas de Yaneworth	Other
HCM 1834	Nicholas de Yaneworth	Principal
HCM 469	Nicholas Iweyn	Witness
HCM 1485	Nicholas Iweyn	Witness
HCM 1489	Nicholas Iweyn	Witness
HCM 186	Nicholas le Barbour	Other
HCM 597	Nicholas le Webbe	Witness
HCM 623	Nicholas Long	Other
HCM 469	Nicholas Wyoch	Witness
HCM 1247	Nicholes de la Felde	Witness
HCM 119	Osbert Galant	Other
HCM 623	Osbert Malemort	Other
HCM 2217	patrons	Other
HCM 2876	penitentiary of the church of Hereford	Other
HCM 1417	penitentiary of the church of Hereford	Other
HCM 1438	penitentiary of the same church	Other
HCM 1507 C	Peter d'Aigueblanche	Other
HCM 3001	Peter de Wilton	Witness
HCM 119	Peter Doieward	Witness
HCM 3008	Peter Guillelmi	Principal
HCM 1768	Peter Knoyl	Witness
HCM 1313	Peter Knoyl	Witness
HCM 1523	Peter Knoyl	Other
HCM 1311	Peter Knoyl	Witness
HCM 1529	Peter le Knoyl	Witness
HCM 1736	Peter Malorre	Witness
HCM 1683	Petronilla	Other
HCM 3001	Petrus Guillelmi	Other
HCM 1703	Philip Bosse	Principal
HCM 1703	Philip Bosse of Turford	Principal
HCM 773	Philip le Werror	Witness
HCM 1752	Philip le Werror	Witness
HCM 207	Philip le Werror	Witness
HCM 700	Philip le Werror	Witness
HCM 1438	Philipp Talebot	Other
HCM 1506	Phillip Bernard	Other
HCM 209	Phillip de Ipr	Witness
HCM 564	Phillip de Ipr	Witness
HCM 383	Phillip de la Ghildhalle	Other
HCM 2871	Phillip de London	Other
HCM 2093	Phillip de Stottesdon	Principal
HCM 207	Phillip le taillor	Witness
HCM 174	Phillip le Werour	Principal
HCM 593	Phillip son of Robert le Park	Principal
HCM 3165	Pope Clement V	Other
HCM 3162	Pope Clement V	Other
HCM 3155	Pope Clement V	Other
HCM 2722	Pope Clement V	Other
HCM 2721	Pope Clement V	Other
HCM 2723	Pope Clement V	Other
HCM 2600	Pope Clement V	Other
HCM 2599	Pope Clement V	Other
HCM 1851	Pope Clement V	Other
HCM 1848	Pope Clement V	Other
HCM 1854	Pope Clement V	Other
HCM 1834	Pope Clement V	Other
HCM 2598	Pope Clement V	Other
HCM 2597	Pope Clement V	Other
HCM 1367	Pope Clement V	Other
HCM 1366	Pope Clement V	Other
HCM 1441	Pope Clement V	Principal
HCM 2717	Pope Clement V	Other
HCM 1854	Pope John XXII	Other
HCM 1367	Pope John XXII	Other
HCM 1366	Pope John XXII	Other
HCM 1077	Pope Nicholas IV	Other
HCM 1443	Portuens'	Other
HCM 2582	Preston	Other
HCM 1441	priest of St. Sabine	Other
HCM 1505	prior of Kedewelly	Other
HCM 1505	prior of Kermerdyn	Other
HCM 2676	Prior of Lanthony Prima in Wales	Principal
HCM 1683	Prior of Stanleye	Other
HCM 1503	priors of Monemowe and Cadwely	Other
HCM 1851	R., bishop of London	Other
HCM 1751	Ralph Berde	Witness
HCM 1918	Ralph Berde	Other
HCM 755	Ralph called le Blake de la Oldehull	Other
HCM 564	Ralph de Brompton	Other
HCM 2093	Ralph de Buesham	Principal
HCM 608	Ralph de Byritone	Other
HCM 207	Ralph de Byritone	Other
HCM 1736	Ralph de Hengham	Witness
HCM 2871	Ralph de Knulle	Other
HCM 2596	Ralph de Lacu	Principal
HCM 3155	Ralph de Stokes	Other
HCM 2876	Ralph le Baron of Wydemarsmore	Principal
HCM 1734	Ralph le Botiler	Other
HCM 1751	Ralph le Botiler	Witness
HCM 1918	Ralph le Botiler	Witness
HCM 564	Ralph le Vreynshe	Other
HCM 564	Ralph le Vreynshe	Witness
HCM 1734	Randolphe Berde	Other
HCM 2717	Ranulf de Evesham, their clerk	Scribe
HCM 3165	Ranulph de Evesham	Witness
HCM 1035	rector of the church of Cherring'	Other
HCM 2582	reeves of Preston	Other
HCM 2145	Reginald	Other
HCM 2145	Reginald de Halton	Other
HCM 2720	Reginald de Orleton	Principal
HCM 1622	Reginald de Todeworth	Principal
HCM 2145	Reginald his brother	Principal
HCM 746	Reginald Maniword	Witness
HCM 1169	Reginald Syward	Other
HCM 2096	Reginald Syward	Other
HCM 670	Reginald Yrp	Other
HCM 1005	Richard	Other
HCM 1003	Richard	Other
HCM 3155	Richard	Principal
HCM 2996	Richard	Other
HCM 755	Richard	Other
HCM 700	Richard	Principal
HCM 1025	Richard	Other
HCM 1049	Richard	Other
HCM 1023	Richard	Other
HCM 1024	Richard	Other
HCM 1035	Richard	Other
HCM 608	Richard	Other
HCM 593	Richard	Other
HCM 609	Richard	Other
HCM 1065	Richard	Principal
HCM 1063	Richard	Other
HCM 352	Richard	Principal
HCM 1505	Richard	Other
HCM 758	Richard, bishop of Hereford	Other
HCM 1063	Richard, bishop of Hereford	Other
HCM 1059	Richard, bishop of Hereford	Other
HCM 1975	Richard, bishop of Hereford	Other
HCM 2257	Richard [de Swinfield], bishop of Hereford	Principal
HCM 1734	Richard berde	Witness
HCM 1751	Richard Berde de Ledebur	Principal
HCM 2464	Richard Broun de Galuerhull	Witness
HCM 1505	Richard called de Monem'	Other
HCM 2996	Richard called Heruy	Principal
HCM 773	Richard called the clerk, chaplain, son and heir of the late Richard le Clerke of Hereford beyond the Wye	Principal
HCM 181	Richard de Bere	Other
HCM 608	Richard de Braumford	Other
HCM 609	Richard de Braumford	Other
HCM 469	Richard de Brochwardyn	Witness
HCM 1489	Richard de Brocwardin	Witness
HCM 378	Richard de Brome	Witness
HCM 564	Richard de Brompton	Other
HCM 946	Richard de Clehonger	Witness
HCM 90	Richard de Cruce	Witness
HCM 219	Richard de Cruce	Witness
HCM 1485	Richard de Cruce	Witness
HCM 670	Richard de ecclesia de Hamton' in the manor of Munstreworthe	Principal
HCM 1023	Richard de Hamenasch	Other
HCM 2870	Richard de Hamenays	Principal
HCM 670	Richard de Harsecumb	Other
HCM 1281	Richard de Hoggesshawe	Other
HCM 1265	Richard de Hoggesshawe	Witness
HCM 1264	Richard de Hoggesshawe	Witness
HCM 1621	Richard de Hunteleye	Other
HCM 63	Richard de La haye	Witness
HCM 2096	Richard de La haye	Witness
HCM 196	Richard de la Lastres	Witness
HCM 1768	Richard de La Mar	Witness
HCM 946	Richard de la Oldehulle	Witness
HCM 564	Richard de Lulham	Witness
HCM 3180	Richard de Manus	Witness
HCM 2072	Richard de Nonnynton	Principal
HCM 1024	Richard de Oxindenn	Other
HCM 1005	Richard de Swynefeud	Other
HCM 1003	Richard de Swynefeud	Other
HCM 1025	Richard de Swynefeud	Other
HCM 1023	Richard de Swynefeud	Other
HCM 1024	Richard de Swynefeud	Other
HCM 1035	Richard de Swynefeud	Other
HCM 2093	Richard de Sydenhale	Principal
HCM 755	Richard de Upton	Principal
HCM 209	Richard de Wycombe	Other
HCM 1417	Richard de Wykewane	Witness
HCM 2096	Richard de Wykewane	Principal
HCM 378	Richard Gilbard	Witness
HCM 670	Richard Gorlek	Other
HCM 1311	Richard Hakelute	Witness
HCM 1247	Richard Haliday	Witness
HCM 1485	Richard Hasard de Aschtun	Other
HCM 758	Richard Heruy	Witness
HCM 2096	Richard Heruy	Witness
HCM 593	Richard his brother	Principal
HCM 2947.G	Richard II	Principal
HCM 119	Richard Ithenhaye	Witness
HCM 1489	Richard Ithenhaye	Witness
HCM 1657	Richard le Balun	Witness
HCM 1836	Richard le Child'	Other
HCM 773	Richard le Clerke	Other
HCM 1751	Richard le Forster	Witness
HCM 589	Richard le Schep	Witness
HCM 1485	Richard le tailour de Lugwardin	Other
HCM 378	Richard Le Vikerys	Witness
HCM 623	Richard le Wodeward	Other
HCM 623	Richard Malemort	Other
HCM 119	Richard Monyword	Witness
HCM 700	Richard Monyword	Other
HCM 1489	Richard Monyword	Witness
HCM 1059	Richardon	Other
HCM 1751	Richard Perot de Ledebur	Principal
HCM 564	Richard son of Phillip de Brompton	Principal
HCM 1929	Richard Swinfield	Principal
HCM 1507 C	Richard Swinfield	Principal
HCM 2260	Richard Swinfield, bishop of Hereford	Principal
HCM 2151	Richard Swinfield, bishop of Hereford	Principal
HCM 2159	Richard Swinfield, bishop of Hereford	Witness
HCM 1931	Richard Swinfield, bishop of Hereford	Principal
HCM 378	Richard the smith of Neuton	Principal
HCM 2874	Richard Thurgrym	Other
HCM 63	Richard Thurgrym	Witness
HCM 1752	Richard Thurgrym	Witness
HCM 203	Richard Thurgrym	Witness
HCM 1974	Richard Thurgrym	Witness
HCM 469	Richard Thurgrym	Witness
HCM 1247	Richard Thurgrym	Witness
HCM 1003	Richerd de Wynchecoumbe	Principal
HCM 3165	Rikeman	Principal
HCM 352	Robert	Principal
HCM 1599	Robert, archbishop of Canterbury	Other
HCM 1077	Robert, called le Dorturer de Selebourne	Scribe
HCM 559	Robert, lord of Stauntone	Witness
HCM 559	Robert ate Heye	Other
HCM 2260	Robert Baynard	Other
HCM 1281	Robert Boter	Other
HCM 1265	Robert Boter	Witness
HCM 1264	Robert Boter	Witness
HCM 1752	Robert Carpentar	Other
HCM 1703	Robert Culbel	Witness
HCM 3165	Robert de Byford	Witness
HCM 385	Robert de Compton	Other
HCM 2671	Robert de Cotinton	Principal
HCM 2670	Robert de Cotinton	Principal
HCM 2668	Robert de Cotinton	Principal
HCM 2718	Robert de Cotinton, clerk of the dean and chapter of Hereford	Principal
HCM 2226	Robert de Dunre	Principal
HCM 352	Robert de Dyk	Other
HCM 201	Robert de Garewy	Principal
HCM 1438	Robert de Glouc	Principal
HCM 758	Robert de Gloucestr', chancellor	Principal
HCM 2251	Robert de Gloucestre	Principal
HCM 2874	Robert de Gloucestre	Principal
HCM 2596	Robert de Gloucestria	Principal
HCM 2059	Robert de Gloucestria	Principal
HCM 386	Robert de Gorewall	Other
HCM 593	Robert de Ho'tone	Other
HCM 2072	Robert de la Doune	Principal
HCM 559	Robert de la Doune de Rydmarleye	Witness
HCM 378	Robert de la Sete	Other
HCM 1621	Robert de Lassindon	Other
HCM 352	Robert de Masinton	Witness
HCM 290	Robert de Masinton	Witness
HCM 1529	Robert de Penebrugg	Witness
HCM 1313	Robert de Penres	Witness
HCM 1529	Robert de Penres	Witness
HCM 1311	Robert de Penres	Witness
HCM 593	Robert de Pirytone	Witness
HCM 2873	Robert de Somersete	Witness
HCM 203	Robert de Somersete	Other
HCM 218	Robert de Somersete	Other
HCM 405	Robert de Somersete	Other
HCM 1768	Robert de Weston	Witness
HCM 1313	Robert de Weston	Witness
HCM 352	Robert Deynte	Witness
HCM 1768	Robert Donnyng	Witness
HCM 1313	Robert Donnyng	Witness
HCM 1523	Robert Donnyng	Other
HCM 1918	Robert Foliot	Witness
HCM 1768	Robert Knoyl	Witness
HCM 1523	Robert Knoyl	Other
HCM 1311	Robert Knoyl	Witness
HCM 290	Robert le Chamberleyn	Witness
HCM 287	Robert le leche de Walsned	Witness
HCM 593	Robert le Park	Other
HCM 1621	Robert le Teyntour	Other
HCM 196	Robert Sauage	Scribe
HCM 174	Robert Sauage	Principal
HCM 746	Robert Trillek	Witness
HCM 3165	Roger	Principal
HCM 383	Roger	Other
HCM 385	Roger	Witness
HCM 384	Roger	Other
HCM 384	Roger	Witness
HCM 386	Roger	Other
HCM 1247	Roger	Witness
HCM 218	Roger called de Ledebury.	Witness
HCM 623	Roger de Blitheslowe	Other
HCM 670	Roger de Boyfelde	Witness
HCM 218	Roger de Breyntone	Principal
HCM 203	Roger de Breyntone	Principal
HCM 90	Roger de Bristoll	Witness
HCM 201	Roger de Bristollia	Witness
HCM 608	Roger de Bruneshop	Other
HCM 405	Roger de Bruneshop	Principal
HCM 406	Roger de Bruneshop	Principal
HCM 218	Roger de Bruneshope de Hereford	Other
HCM 2873	Roger de Brunsope	Other
HCM 609	Roger de Brunsope	Other
HCM 1489	Roger de Brunsope	Witness
HCM 1652	Roger de Cestr	Other
HCM 352	Roger de Dyk	Other
HCM 2873	Roger de Ereyntonia	Other
HCM 385	Roger de la Ghildhalle	Witness
HCM 384	Roger de la Ghildhalle	Witness
HCM 383	Roger de la Ghildhselle	Witness
HCM 1736	Roger de la Grene de Bulleye	Principal
HCM 153	Roger de Ledebury	Witness
HCM 150	Roger de Ledebury	Witness
HCM 63	Roger de Ledebury	Witness
HCM 209	Roger de Ledebury	Other
HCM 209	Roger de Ledebury	Witness
HCM 700	Roger de Ledebury	Witness
HCM 1169	Roger de Ledebury	Other
HCM 201	Roger de Ledebury	Witness
HCM 1247	Roger de le Halle	Principal
HCM 196	Roger de Luyde	Principal
HCM 2714	Roger de Melton	Principal
HCM 2751	Roger de Meltone Mounbray	Principal
HCM 700	Roger de Mora	Other
HCM 1929	Roger de Mortemer	Other
HCM 670	Roger de Munstreworthe	Witness
HCM 773	Roger de Poteston	Witness
HCM 2879	Roger de Sevenak	Other
HCM 2871	Roger de Wynton	Other
HCM 2995	Roger Digge	Other
HCM 681	Roger Iwayn	Witness
HCM 755	Roger Laurenc' de Eton	Witness
HCM 1751	Roger le Skynnar'.	Witness
HCM 2873	Roger le Taillur	Witness
HCM 153	Roger le Taillur	Witness
HCM 203	Roger le Taillur	Witness
HCM 1489	Roger le Taillur	Witness
HCM 405	Roger le Taillur	Witness
HCM 406	Roger le Taillur	Other
HCM 63	Roger le Tayllor	Witness
HCM 218	Roger le Tayllor	Other
HCM 384	Roger le Webbe	Other
HCM 1485	Roger le Yongehosebonde	Witness
HCM 1485	Roger Ochelmon	Witness
HCM 469	Roger Ocwelmen	Other
HCM 1734	Roger Pelliparie	Witness
HCM 773	Roger Penk	Other
HCM 773	Roger Penk	Witness
HCM 1752	Roger Penk	Witness
HCM 207	Roger Penk	Witness
HCM 700	Roger Penk	Witness
HCM 1485	Roger Penk	Witness
HCM 3180	Roger Pychard	Witness
HCM 1005	Roger Racy	Other
HCM 678	Roger son of Henry le mason	Other
HCM 623	Roger Spore	Other
HCM 2947.G	ROYAL CONFIRMATION	Principal
HCM 1169	Rushmarsh	Other
HCM 2145	Salop	Other
HCM 1443	Shorn'	Other
HCM 681	Sibil	Principal
HCM 290	Sibil	Principal
HCM 2464	Simon de Norton	Witness
HCM 1658a	St. Catherine	Other
HCM 1281	St. Ethelbert of Hereford	Other
HCM 2093	St. Katherine the Virgin and martyr	Other
HCM 1441	St. Nicholas	Other
HCM 2226	Stephen	Principal
HCM 1703	Stephen	Other
HCM 2072	Stephen	Other
HCM 2096	Stephen	Other
HCM 2145	Stephen de Buterleye	Other
HCM 680	Stephen de Grene	Witness
HCM 1657	Stephen de Masyntone	Witness
HCM 1848	Stephen de Thanet’	Other
HCM 2072	Stephen de Thansto	Other
HCM 758	Stephen Normal	Witness
HCM 3001	Stephen Norman	Other
HCM 680	Stephenson of John de Wormetone	Other
HCM 680	Stephen son of William Payn	Principal
HCM 1703	Stephen the smith	Other
HCM 2877	sub-dean of Hereford	Other
HCM 386	Sybil	Principal
HCM 1485	Symon de Lodelawe	Witness
HCM 405	Symon de Lodelawe	Witness
HCM 406	Symon de Lodelawe	Witness
HCM 1652	The abbot and convent	Other
HCM 1652	the abbot and convent of St. Peter's, Gloucester,	Principal
HCM 2093	the abbot and convent of the monastery of St. James of Wiggemore in the diocese of Hereford	Other
HCM 2217	the abbot and convent of the monastery of St. Peter's, Gloucester	Principal
HCM 1368	the abbot and convent of Wigmore	Other
HCM 1621	the abbot of Gloucester	Other
HCM 1599	the abbot of Gloucester	Other
HCM 2871	the apostolic see	Other
HCM 3001	the apostolic see	Other
HCM 1442	the archbishops and bishops of England, their administrators and officials.	Principal
HCM 1077	the archdeacon	Other
HCM 1443	the archdeacon	Other
HCM 2257	the bishop	Other
HCM 1780	the bishop	Other
HCM 2995	the bishop	Other
HCM 1929	the bishop	Other
HCM 1931	the bishop	Other
HCM 1442	the bishop	Other
HCM 1503	the bishop	Other
HCM 2096	the bishop	Other
HCM 758	the bishop of Hereford	Other
HCM 1169	the bishop of Hereford	Other
HCM 2096	the bishop of Hereford	Other
HCM 1780	the bishop of Llandaff	Other
HCM 1313	the burgesses of the town of Sweynes	Other
HCM 2072	the canons	Other
HCM 2059	the canons	Other
HCM 2246	the canons of Hereford	Other
HCM 1443	the cardinal commissioners	Other
HCM 3001	the cathedral church of Hereford	Other
HCM 2096	the chaplains in the church of Hereford	Other
HCM 2871	the chapter of Hereford	Other
HCM 1443	the chapter of Hereford	Principal
HCM 2096	the chapter of Hereford	Other
HCM 1975	the chapter of Hereford	Other
HCM 2875	the chapter of the church of St. Ethelbert of Hereford	Other
HCM 2145	the chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2505	the chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2586	the chapter of the church of St. Ethelbert of Hereford	Other
HCM 2072	the chapter of the church of St. Ethelbert of Hereford	Other
HCM 2463	the chapter of the same place	Principal
HCM 2464	the chapter of the same place	Principal
HCM 1930	the chief collectors of the tenth	Other
HCM 715	the chief parishioners of Maddeleye	Principal
HCM 2246	the citizens of Hereford	Other
HCM 2947.G	the citizens of Hereford	Principal
HCM 2674	the Clergy of England	Other
HCM 2260	the clergy of the province of Canterbury	Other
HCM 1442	the commissioners	Other
HCM 1443	The commissioners’ auditors and notaries	Other
HCM 1622	the convent of St. Peter's, Gloucester	Principal
HCM 1754	the convent of the same place	Principal
HCM 2871	the Court of Canterbury	Other
HCM 1780	the Court of Canterbury	Other
HCM 3001	the Court of Canterbury	Other
HCM 946	the custos of the almshouse of the same place	Principal
HCM 1503	The dean	Other
HCM 2257	the dean and chapter	Other
HCM 758	the dean and chapter	Other
HCM 2995	the dean and chapter	Other
HCM 2996	the dean and chapter	Other
HCM 3008	the dean and chapter	Other
HCM 3001	the dean and chapter	Other
HCM 1930	the dean and chapter	Other
HCM 1368	the dean and chapter	Other
HCM 1489	the dean and chapter	Other
HCM 2096	the dean and chapter	Other
HCM 2059	the dean and chapter	Other
HCM 2257	the dean and chapter of Hereford	Principal
HCM 2873	the dean and chapter of Hereford	Other
HCM 2671	the dean and chapter of Hereford	Other
HCM 2670	the dean and chapter of Hereford	Other
HCM 2151	the dean and chapter of Hereford	Principal
HCM 2995	the dean and chapter of Hereford	Principal
HCM 2996	the dean and chapter of Hereford	Other
HCM 3008	the dean and chapter of Hereford	Principal
HCM 2947.G	the dean and chapter of Hereford	Principal
HCM 3001	the dean and chapter of Hereford	Principal
HCM 1930	the dean and chapter of Hereford	Principal
HCM 1851	the dean and chapter of Hereford	Principal
HCM 1065	the dean and chapter of Hereford	Other
HCM 1077	the dean and chapter of Hereford	Other
HCM 1059	the dean and chapter of Hereford	Other
HCM 1367	the dean and chapter of Hereford	Other
HCM 1368	the dean and chapter of Hereford	Principal
HCM 1443	the dean and chapter of Hereford	Other
HCM 2668	the dean and chapter of Hereford	Other
HCM 2665	the dean and chapter of Hereford	Other
HCM 2669	the dean and chapter of Hereford	Other
HCM 2096	the dean and chapter of Hereford	Other
HCM 1265	the dean and chapter of Hereford	Other
HCM 2672	the dean and chapter of the cathedral church of Hereford	Principal
HCM 3001	the dean and chapter of the cathedral church of Hereford	Other
HCM 1931	the dean and chapter of the cathedral church of Hereford	Principal
HCM 1836	the dean and chapter of the cathedral church of Hereford	Principal
HCM 1834	the dean and chapter of the cathedral church of Hereford	Principal
HCM 2715	the dean and chapter of the cathedral church of Hereford	Principal
HCM 2871	the dean of St. Paul's, London	Other
HCM 1503	the dean of the church of the blessed Mary of the Arches at London	Principal
HCM 1504	the dean of the Court of Arches	Other
HCM 1854	the Exchequer	Other
HCM 1005	the executors of the will of dominus Richard de Swynefeud	Principal
HCM 1003	the executors of the will of dominus Richard de Swynefeud	Principal
HCM 1063	the imprisoned clerks	Other
HCM 1368	their own messengers	Other
HCM 1768	their servants and tenants of Traynmeybon Meurik and Thlaghharth' in Trayn Mawr in Gower	Other
HCM 2995	the judges	Other
HCM 2995	the judges delegated in their cause	Other
HCM 2257	the king	Other
HCM 2260	the king	Other
HCM 1621	the king	Principal
HCM 1621	the king	Witness
HCM 1652	the king	Other
HCM 2674	the king	Other
HCM 2159	the king	Other
HCM 1930	the king	Other
HCM 1929	the king	Other
HCM 1931	the king	Other
HCM 2096	the king	Other
HCM 1621	the king's justices	Other
HCM 1367	the king's treasurer	Other
HCM 2096	the king of England	Other
HCM 1768	the Lord of Gower	Other
HCM 608	the lord treasurer of Hereford	Other
HCM 1368	the messengers of dominus Bartholomew	Other
HCM 1622	the monastery of Gloucester	Other
HCM 1443	the notaries	Other
HCM 1599	the official of the archdeacon of Norwich	Other
HCM 1780	the official of the Court of Canterbury	Principal
HCM 2096	the other chaplains of the said chapel	Other
HCM 1443	the papal comissloners	Principal
HCM 758	the Pope	Other
HCM 3001	the Pope	Other
HCM 1930	the Pope	Other
HCM 1931	the Pope	Other
HCM 1442	the Pope	Other
HCM 1439	the Pope	Other
HCM 2096	the prebend of Gorewalle	Other
HCM 1505	the prior	Other
HCM 1754	the prior and convent	Other
HCM 1929	the prior of Breghenok'	Other
HCM 1505	the prior of Kedewelly	Principal
HCM 1504	the prior of Kedwell’	Principal
HCM 1504	the Prior of Kermerdyn	Principal
HCM 1505	the Prior of Kermerdyn	Principal
HCM 1443	the proctor	Other
HCM 3008	the proctor of the dean and chapter of Hereford	Principal
HCM 1505	the proctors of the said magister Maurice	Other
HCM 1751	the rector of the church of Estenovere	Other
HCM 1918	the rector of the upper hall (superioris aule) of Ledbur	Other
HCM 2159	the rectors of the said parish	Other
HCM 2096	the rest of the chaplains of the said chapel	Other
HCM 1441	the said archdeacon	Other
HCM 2260	the said bishop	Other
HCM 1854	the said bishop	Other
HCM 2096	the said chaplain and his successors	Other
HCM 2093	The said commissary	Other
HCM 946	the said custos	Other
HCM 2996	the said dean and chapter	Other
HCM 3001	the said dean and chapter	Other
HCM 2596	the said dean and chapter	Principal
HCM 2664	The said dean and chapter by the hand of dominus W., their receiver.	Principal
HCM 1442	the said de Cantilupo	Other
HCM 2072	the said executors	Other
HCM 1930	the said merchants	Other
HCM 2096	the said prebend of Gorewalle	Other
HCM 2996	the said Richard	Other
HCM 1621	the sheriff of Gloucestershire	Principal
HCM 2674	the society of Friscobaldi of Florence	Other
HCM 1768	the steward of Gower	Other
HCM 1063	the steward of the dean and chapter of Hereford	Other
HCM 2871	the sub-dean of Hereford	Other
HCM 1780	the true patron thereof	Other
HCM 1063	the vicar of the church of Woluyuehop	Other
HCM 1836	the vicar of the chureh of Longestaunton',	Other
HCM 2072	the vicars and clerks of the choir present at the obit	Other
HCM 2995	the writer's proctor	Other
HCM 1768	Thlaghharth	Other
HCM 773	Thomas	Principal
HCM 1780	Thomas	Other
HCM 2996	Thomas	Other
HCM 755	Thomas	Other
HCM 746	Thomas	Other
HCM 2876	Thomas	Other
HCM 1441	Thomas	Other
HCM 1485	Thomas	Other
HCM 1443	Thomas, cardinal of England	Other
HCM 1703	Thomas, lord of Overton	Witness
HCM 681	Thomas Aubrey	Witness
HCM 1313	Thomas Cothgh	Witness
HCM 2877	Thomas de Ayleston	Principal
HCM 412	Thomas de Aylineston	Principal
HCM 1485	Thomas de Aylineston	Principal
HCM 3001	Thomas de Boleye	Other
HCM 2673	Thomas de Cantilupe, one time bishop of Hereford	Other
HCM 1442	Thomas de Cantilupo	Other
HCM 1443	Thomas de Cantilupo	Other
HCM 1441	Thomas de Cantilupo	Other
HCM 1438	Thomas de Cantilupo	Other
HCM 1439	Thomas de Cantilupo	Other
HCM 1975	Thomas de Dan	Other
HCM 2996	Thomas de Gynes	Other
HCM 1443	Thomas de Gynes	Other
HCM 3198	Thomas de Henthlan	Principal
HCM 2463	Thomas de Henthlan	Principal
HCM 383	Thomas de Hewe	Witness
HCM 386	Thomas de Hewe	Principal
HCM 2874	Thomas de la Barre	Witness
HCM 90	Thomas de la Barre	Witness
HCM 1974	Thomas de la Barre	Witness
HCM 1489	Thomas de la Barre	Witness
HCM 150	Thomas de la Felde	Principal
HCM 153	Thomas de Maddeleye	Witness
HCM 2871	Thomas de Orleton	Principal
HCM 207	Thomas de Orleton	Witness
HCM 2663	Thomas de Orleton	Principal
HCM 2591	Thomas de Orleton	Principal
HCM 2779	Thomas de Orleton	Principal
HCM 2716	Thomas de Orleton', clerk	Principal
HCM 3001	Thomas de Penbrugge	Other
HCM 1780	Thomas de Penebrugg	Principal
HCM 2880	Thomas de Penebrugg	Other
HCM 1313	Thomas de Sengilton	Other
HCM 207	Thomas de Stretton	Witness
HCM 1768	Thomas Goch	Witness
HCM 90	Thomas Hamound	Witness
HCM 1657	Thomas Kec	Witness
HCM 755	Thomas le Breoton	Other
HCM 1657	Thomas le Brut	Other
HCM 1836	Thomas le Childe'	Other
HCM 1506	Thomas Legert	Other
HCM 597	Thomas le Webbe	Witness
HCM 150	Thomas Sandi	Other
HCM 1247	Thomas son of John de Homptone	Principal
HCM 153	Thomas Theobaud	Witness
HCM 63	Thomas Theobaud	Other
HCM 2876	Thomas Theobaud	Other
HCM 2876	Thomas Theobaud	Witness
HCM 1169	Thomas Theobaud	Other
